Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used.1,Hashtags Used.2,Hashtags,Campaign_Name,Engagement_Rate,Total_Engagement,Start_Date,End_Date,Campaign_Phase,,Task 1,,,,,,,,,,,,,,,
P049,Twitter,10/06/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2164,549,274,28132,27361,177,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,10.62%,2987,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P050,YouTube,03/07/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2754,130,90,22032,21288,112,MyntraFashion,,MyntraFashion,FashionUpgrade,13.50%,2974,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P051,Facebook,13/06/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2200,504,239,37400,36938,225,MyntraSale,,MyntraSale,MyntraFestiveEdit,7.87%,2943,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P052,Facebook,03/01/2025,Image,Explore the latest image on Myntra! Trendy styles await.,947,338,350,10417,9730,34,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",MyntraFestiveEdit,15.70%,1635,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P053,YouTube,24/02/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,804,639,43,4020,3144,11,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",StyleRevolution,36.97%,1486,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P054,YouTube,13/03/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,1686,904,472,18546,18171,52,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",EndOfSeasonSale,16.51%,3062,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P055,Facebook,17/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1226,119,7,14712,14049,123,MyntraSale,MyntraTrend,"MyntraSale,MyntraTrend",StyleRevolution,9.19%,1352,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P056,Facebook,18/12/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2946,498,367,29460,28527,60,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",EndOfSeasonSale,12.94%,3811,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P057,Twitter,21/10/2024,Video,Explore the latest video on Myntra! Trendy styles await.,2825,535,295,45200,44739,169,StyleWithMyntra,,StyleWithMyntra,EndOfSeasonSale,8.09%,3655,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P058,Instagram,15/04/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,103,770,19,1030,410,262,MyntraSale,,MyntraSale,MyntraFestiveEdit,86.60%,892,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P059,Instagram,22/06/2024,Text,Explore the latest text on Myntra! Trendy styles await.,2180,263,387,30520,30059,174,FashionDeals,,FashionDeals,FashionUpgrade,9.27%,2830,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P060,Instagram,28/01/2025,Video,Explore the latest video on Myntra! Trendy styles await.,904,973,63,11752,11580,84,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,16.51%,1940,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P061,Twitter,05/09/2024,Video,Explore the latest video on Myntra! Trendy styles await.,4886,983,409,43974,43239,65,MyntraFashion,,MyntraFashion,FashionUpgrade,14.28%,6278,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P062,Twitter,22/11/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,53,81,379,954,7,148,FashionDeals,,FashionDeals,MyntraFestiveEdit,53.77%,513,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P063,Twitter,31/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4507,217,13,90140,89591,125,MyntraSale,,MyntraSale,FashionUpgrade,5.26%,4737,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P064,Facebook,17/08/2024,Image,Explore the latest image on Myntra! Trendy styles await.,2878,248,416,43170,42667,75,FashionDeals,MyntraTrend,"FashionDeals,MyntraTrend",EndOfSeasonSale,8.20%,3542,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P065,Instagram,28/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,1881,501,99,20691,19987,289,FashionDeals,,FashionDeals,EndOfSeasonSale,11.99%,2481,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P066,Twitter,26/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,432,171,280,3024,2285,184,MyntraFashion,,MyntraFashion,MyntraFestiveEdit,29.20%,883,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P067,Facebook,29/03/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4712,568,127,84816,84691,100,FashionDeals,,FashionDeals,FashionUpgrade,6.37%,5407,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P068,Instagram,08/12/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2610,126,288,15660,15145,73,MyntraFashion,,MyntraFashion,FashionUpgrade,19.31%,3024,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P069,Twitter,08/03/2025,Text,Explore the latest text on Myntra! Trendy styles await.,1292,626,496,25840,24916,149,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",StyleRevolution,9.34%,2414,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P070,Facebook,02/04/2025,Video,Explore the latest video on Myntra! Trendy styles await.,199,772,400,3582,2988,43,MyntraTrend,,MyntraTrend,FashionUpgrade,38.27%,1371,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P071,YouTube,02/09/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2551,915,205,30612,30360,227,MyntraSale,FashionDeals,"MyntraSale,FashionDeals",EndOfSeasonSale,11.99%,3671,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P072,YouTube,03/03/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,296,60,141,5624,5239,88,MyntraTrend,,MyntraTrend,StyleRevolution,8.84%,497,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P073,Facebook,18/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4126,426,486,78394,77798,88,MyntraFashion,,MyntraFashion,FashionUpgrade,6.43%,5038,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P074,YouTube,28/10/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1855,200,174,16695,16330,123,MyntraFashion,,MyntraFashion,MyntraFestiveEdit,13.35%,2229,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P075,Instagram,01/08/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1674,929,37,21762,20998,255,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",MyntraFestiveEdit,12.13%,2640,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P076,Twitter,07/11/2024,Story,Explore the latest story on Myntra! Trendy styles await.,1121,135,18,15694,14957,99,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",StyleRevolution,8.12%,1274,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P077,Facebook,04/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,1249,116,420,8743,8538,63,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",MyntraFestiveEdit,20.42%,1785,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P078,Twitter,17/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,954,324,288,19080,18859,21,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,8.21%,1566,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P079,Instagram,09/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3068,137,329,39884,39404,266,MyntraSale,MyntraTrend,"MyntraSale,MyntraTrend",MyntraFestiveEdit,8.86%,3534,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P080,Instagram,13/06/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2103,892,103,39957,39466,28,FashionDeals,MyntraFashion,"FashionDeals,MyntraFashion",EndOfSeasonSale,7.75%,3098,10/06/2024,05/07/2024,During,,,,,,,,,,,,,,,,,
P081,Instagram,19/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,1816,29,41,19976,19262,283,MyntraTrend,MyntraSale,"MyntraTrend,MyntraSale",MyntraFestiveEdit,9.44%,1886,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P082,Instagram,24/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,725,88,428,14500,13637,200,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,8.56%,1241,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P083,YouTube,15/10/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1094,472,21,9846,9609,112,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",MyntraFestiveEdit,16.12%,1587,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P084,Facebook,09/12/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1841,851,342,34979,34154,255,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",FashionUpgrade,8.67%,3034,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P085,Instagram,19/04/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4177,569,55,25062,24847,230,MyntraFashion,,MyntraFashion,FashionUpgrade,19.16%,4801,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P086,YouTube,27/01/2025,Text,Explore the latest text on Myntra! Trendy styles await.,3428,305,85,58276,58052,242,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",MyntraFestiveEdit,6.55%,3818,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P087,Twitter,06/06/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1436,765,496,12924,12701,197,MyntraTrend,MyntraSale,"MyntraTrend,MyntraSale",EndOfSeasonSale,20.87%,2697,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P088,Facebook,07/07/2024,Story,Explore the latest story on Myntra! Trendy styles await.,302,47,430,5738,4890,25,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",EndOfSeasonSale,13.58%,779,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P089,Twitter,10/01/2025,Image,Explore the latest image on Myntra! Trendy styles await.,2214,249,152,15498,14800,180,MyntraSale,,MyntraSale,EndOfSeasonSale,16.87%,2615,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P090,Instagram,03/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3861,960,101,69498,68817,297,MyntraFashion,,MyntraFashion,EndOfSeasonSale,7.08%,4922,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P091,Facebook,24/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,1263,397,357,25260,24615,137,MyntraSale,,MyntraSale,EndOfSeasonSale,7.98%,2017,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P092,Twitter,21/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,3801,967,401,38010,37625,236,StyleWithMyntra,,StyleWithMyntra,StyleRevolution,13.60%,5169,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P093,Instagram,11/12/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1431,951,26,8586,8396,150,MyntraTrend,FashionDeals,"MyntraTrend,FashionDeals",FashionUpgrade,28.05%,2408,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P094,Instagram,07/11/2024,Image,Explore the latest image on Myntra! Trendy styles await.,2647,304,170,18529,17841,46,StyleWithMyntra,,StyleWithMyntra,EndOfSeasonSale,16.84%,3121,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P095,Instagram,08/11/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3182,559,160,57276,56890,163,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",EndOfSeasonSale,6.81%,3901,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P096,Twitter,10/09/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1238,366,444,19808,19334,123,FashionDeals,,FashionDeals,MyntraFestiveEdit,10.34%,2048,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P097,Instagram,13/08/2024,Image,Explore the latest image on Myntra! Trendy styles await.,4739,527,135,61607,61333,36,StyleWithMyntra,MyntraSale,"StyleWithMyntra,MyntraSale",EndOfSeasonSale,8.77%,5401,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P098,Twitter,10/06/2024,Story,Explore the latest story on Myntra! Trendy styles await.,1575,771,486,25200,24826,17,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,11.24%,2832,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P099,YouTube,02/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4171,548,86,66736,66634,173,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,7.20%,4805,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P100,YouTube,10/02/2025,Video,Explore the latest video on Myntra! Trendy styles await.,1766,92,424,24724,24333,52,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,9.23%,2282,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P101,YouTube,18/10/2024,Video,Explore the latest video on Myntra! Trendy styles await.,4450,983,143,75650,75008,12,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",EndOfSeasonSale,7.37%,5576,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P102,Twitter,18/09/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1000,978,162,6000,5221,223,MyntraTrend,MyntraFashion,"MyntraTrend,MyntraFashion",MyntraFestiveEdit,35.67%,2140,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
