Week_Start_Date,Platform,New_Followers,Unfollows,Total_Followers,Engagement_Rate,Ad_Spend,Follower_Growth,,,,,,,,,,,
09/09/2024,Facebook,1842,414,307524,1.76,40478,1428,,,,,,,,,,,
09/09/2024,Twitter,751,491,434047,9.24,15476,260,,,,,,,,,,,
09/09/2024,YouTube,1409,309,64583,8.99,10217,1100,,,,,,,,,,,
16/09/2024,Instagram,778,401,50793,3.4,21939,377,,,,,,,,,,,
16/09/2024,Facebook,443,345,474162,9.2,47462,98,,,,,,,,,,,
16/09/2024,Twitter,1472,347,392355,8.59,30270,1125,,,,,,,,,,,
16/09/2024,YouTube,123,155,119934,3.5,5442,-32,,,,,,,,,,,
23/09/2024,Instagram,817,151,422625,2.36,1083,666,,,,,,,,,,,
23/09/2024,Facebook,198,217,239753,7.36,11901,-19,,,,,,,,,,,
23/09/2024,Twitter,1911,231,268516,8.55,24018,1680,,,,,,,,,,,
23/09/2024,YouTube,1218,212,63177,8.13,38883,1006,,,,,,,,,,,
30/09/2024,Instagram,1433,408,370269,3.3,30575,1025,,,,,,,,,,,
30/09/2024,Facebook,250,429,453423,1.77,2315,-179,,,,,,,,,,,
30/09/2024,Twitter,752,153,64906,2.09,12148,599,,,,,,,,,,,
30/09/2024,YouTube,1918,212,94360,7.36,36851,1706,,,,,,,,,,,
07/10/2024,Instagram,1939,67,187183,6.25,41215,1872,,,,,,,,,,,
07/10/2024,Facebook,1929,267,379363,1.75,43836,1662,,,,,,,,,,,
07/10/2024,Twitter,437,330,476486,4.97,4509,107,,,,,,,,,,,
07/10/2024,YouTube,307,189,117767,9.3,27822,118,,,,,,,,,,,
14/10/2024,Instagram,1527,303,388555,8.9,36397,1224,,,,,,,,,,,
14/10/2024,Facebook,643,358,157599,3.88,7285,285,,,,,,,,,,,
14/10/2024,Twitter,201,221,309772,5.9,33174,-20,,,,,,,,,,,
14/10/2024,YouTube,414,47,199178,1.53,6742,367,,,,,,,,,,,
21/10/2024,Instagram,703,441,357089,6.5,32478,262,,,,,,,,,,,
21/10/2024,Facebook,508,69,23492,3.16,42824,439,,,,,,,,,,,
21/10/2024,Twitter,697,61,258287,8.25,21208,636,,,,,,,,,,,
21/10/2024,YouTube,1707,223,256910,5.41,44321,1484,,,,,,,,,,,
28/10/2024,Instagram,642,66,346522,5.85,13116,576,,,,,,,,,,,
28/10/2024,Facebook,859,473,209987,4.46,30214,386,,,,,,,,,,,
28/10/2024,Twitter,191,154,240550,5.22,15827,37,,,,,,,,,,,
28/10/2024,YouTube,1814,157,305827,1.99,46643,1657,,,,,,,,,,,
04/11/2024,Instagram,1466,69,54935,6.85,36484,1397,,,,,,,,,,,
04/11/2024,Facebook,947,407,319186,3.32,4996,540,,,,,,,,,,,
04/11/2024,Twitter,1821,218,439080,5.68,36095,1603,,,,,,,,,,,
04/11/2024,YouTube,1507,463,258944,6.08,16443,1044,,,,,,,,,,,
11/11/2024,Instagram,1075,173,51395,4.66,47812,902,,,,,,,,,,,
11/11/2024,Facebook,171,277,309483,8.7,38452,-106,,,,,,,,,,,
11/11/2024,Twitter,1487,337,87305,2.46,30428,1150,,,,,,,,,,,
11/11/2024,YouTube,454,105,121091,7.97,9269,349,,,,,,,,,,,
18/11/2024,Instagram,187,236,51087,9.41,29533,-49,,,,,,,,,,,
18/11/2024,Facebook,513,441,338847,2.68,39997,72,,,,,,,,,,,
18/11/2024,Twitter,628,183,487523,7.32,5391,445,,,,,,,,,,,
18/11/2024,YouTube,278,218,301695,4.68,22373,60,,,,,,,,,,,
25/11/2024,Instagram,1854,161,282466,5.17,1810,1693,,,,,,,,,,,
25/11/2024,Facebook,1710,378,336661,6.2,28498,1332,,,,,,,,,,,
25/11/2024,Twitter,330,232,88455,2.69,39530,98,,,,,,,,,,,
25/11/2024,YouTube,1293,408,62535,8.9,37876,885,,,,,,,,,,,
02/12/2024,Instagram,1696,71,421957,3.79,36103,1625,,,,,,,,,,,
02/12/2024,Facebook,1902,196,470269,4.79,26103,1706,,,,,,,,,,,
02/12/2024,Twitter,1441,268,309904,6.37,3455,1173,,,,,,,,,,,
02/12/2024,YouTube,452,161,221274,2.65,40888,291,,,,,,,,,,,
09/12/2024,Instagram,1494,375,220616,1.81,22724,1119,,,,,,,,,,,
09/12/2024,Facebook,1514,141,35842,7.47,18601,1373,,,,,,,,,,,
09/12/2024,Twitter,1937,210,20607,4.2,20861,1727,,,,,,,,,,,
09/12/2024,YouTube,736,163,451894,5.43,46625,573,,,,,,,,,,,
16/12/2024,Instagram,1502,70,465553,3.32,20692,1432,,,,,,,,,,,
16/12/2024,Facebook,1623,246,415815,8.11,18656,1377,,,,,,,,,,,
16/12/2024,Twitter,1592,233,327183,6.66,13316,1359,,,,,,,,,,,
16/12/2024,YouTube,1004,128,488901,8.09,49558,876,,,,,,,,,,,
23/12/2024,Instagram,1092,408,280795,8.44,4683,684,,,,,,,,,,,
23/12/2024,Facebook,1155,425,93347,2.02,47502,730,,,,,,,,,,,
23/12/2024,Twitter,1137,226,81119,7.74,35359,911,,,,,,,,,,,
23/12/2024,YouTube,1900,311,25177,2.89,14154,1589,,,,,,,,,,,
30/12/2024,Instagram,1814,49,140804,1.76,4313,1765,,,,,,,,,,,
30/12/2024,Facebook,1980,204,379431,3.09,25140,1776,,,,,,,,,,,
30/12/2024,Twitter,1786,257,274831,4.68,9118,1529,,,,,,,,,,,
30/12/2024,YouTube,1495,35,136845,4.48,39931,1460,,,,,,,,,,,
06/01/2025,Instagram,1013,110,466382,5.3,37132,903,,,,,,,,,,,
06/01/2025,Facebook,816,196,95728,8.2,17951,620,,,,,,,,,,,
06/01/2025,Twitter,1633,445,371156,2.22,2798,1188,,,,,,,,,,,
06/01/2025,YouTube,891,45,95410,8.33,15045,846,,,,,,,,,,,
13/01/2025,Instagram,1855,133,349413,3.3,14548,1722,,,,,,,,,,,
13/01/2025,Facebook,651,353,224699,5.61,45708,298,,,,,,,,,,,
13/01/2025,Twitter,118,262,487896,2.56,12350,-144,,,,,,,,,,,
13/01/2025,YouTube,1331,430,14437,3.29,40868,901,,,,,,,,,,,
20/01/2025,Instagram,1748,176,383681,9.24,43122,1572,,,,,,,,,,,
20/01/2025,Facebook,663,236,479490,4.51,23853,427,,,,,,,,,,,
20/01/2025,Twitter,1040,149,124404,5.23,45380,891,,,,,,,,,,,
20/01/2025,YouTube,1166,442,336949,4.68,7705,724,,,,,,,,,,,
27/01/2025,Instagram,115,281,357265,9.23,25525,-166,,,,,,,,,,,
27/01/2025,Facebook,1249,351,321307,6.37,20560,898,,,,,,,,,,,
27/01/2025,Twitter,1501,75,262569,2.01,19119,1426,,,,,,,,,,,
27/01/2025,YouTube,1411,186,461669,3.72,43999,1225,,,,,,,,,,,
03/02/2025,Instagram,1556,476,351556,3.89,10825,1080,,,,,,,,,,,
03/02/2025,Facebook,1159,411,135987,8.7,40323,748,,,,,,,,,,,
03/02/2025,Twitter,927,358,177554,6.95,48270,569,,,,,,,,,,,
03/02/2025,YouTube,152,355,270766,9.48,18001,-203,,,,,,,,,,,
10/02/2025,Instagram,1957,234,222126,4.61,3314,1723,,,,,,,,,,,
10/02/2025,Facebook,1294,382,309914,8.03,23489,912,,,,,,,,,,,
10/02/2025,Twitter,1587,385,126582,6.99,42832,1202,,,,,,,,,,,
10/02/2025,YouTube,1707,263,485280,9.03,24494,1444,,,,,,,,,,,
17/02/2025,Instagram,1138,173,453243,2.86,44097,965,,,,,,,,,,,
17/02/2025,Facebook,1895,305,104967,3.85,31853,1590,,,,,,,,,,,
17/02/2025,Twitter,362,399,145608,7.3,37636,-37,,,,,,,,,,,
17/02/2025,YouTube,1662,487,105980,9.08,22996,1175,,,,,,,,,,,
24/02/2025,Instagram,1440,65,126524,4.34,49772,1375,,,,,,,,,,,
24/02/2025,Facebook,1884,177,230448,7.8,22713,1707,,,,,,,,,,,
24/02/2025,Twitter,861,153,317007,3.85,8718,708,,,,,,,,,,,
24/02/2025,YouTube,1063,47,464239,6.58,39031,1016,,,,,,,,,,,
03/03/2025,Instagram,1371,56,257579,8.62,33799,1315,,,,,,,,,,,
03/03/2025,Facebook,345,464,366881,4.55,20553,-119,,,,,,,,,,,
03/03/2025,Twitter,946,47,466575,8.33,10002,899,,,,,,,,,,,
03/03/2025,YouTube,510,195,224534,9.4,30987,315,,,,,,,,,,,
10/03/2025,Instagram,393,181,462142,7.23,6296,212,,,,,,,,,,,
10/03/2025,Facebook,1098,190,340842,9.39,21539,908,,,,,,,,,,,
10/03/2025,Twitter,1399,49,12471,5.12,14722,1350,,,,,,,,,,,
10/03/2025,YouTube,1658,416,98397,6.11,11383,1242,,,,,,,,,,,
17/03/2025,Instagram,1102,422,410330,7.74,9480,680,,,,,,,,,,,
17/03/2025,Facebook,1358,242,342129,4.94,29116,1116,,,,,,,,,,,
17/03/2025,Twitter,1077,216,12447,1.8,14068,861,,,,,,,,,,,
17/03/2025,YouTube,1596,211,17380,8.64,35801,1385,,,,,,,,,,,
24/03/2025,Instagram,490,29,364810,1.53,49077,461,,,,,,,,,,,
24/03/2025,Facebook,609,135,373606,8.52,21453,474,,,,,,,,,,,
24/03/2025,Twitter,364,72,211090,5.53,21061,292,,,,,,,,,,,
24/03/2025,YouTube,442,53,441931,1.87,20059,389,,,,,,,,,,,
31/03/2025,Instagram,1033,392,282780,6.27,23140,641,,,,,,,,,,,
31/03/2025,Facebook,988,474,370070,9.46,23461,514,,,,,,,,,,,
31/03/2025,Twitter,1946,270,198350,7.5,11805,1676,,,,,,,,,,,
31/03/2025,YouTube,1957,490,435726,4.73,15969,1467,,,,,,,,,,,
07/04/2025,Instagram,559,392,78789,3.19,2436,167,,,,,,,,,,,
07/04/2025,Facebook,1307,278,98596,2.49,47603,1029,,,,,,,,,,,
07/04/2025,Twitter,1432,425,29589,4.5,42964,1007,,,,,,,,,,,
07/04/2025,YouTube,623,414,290354,6.49,39923,209,,,,,,,,,,,
14/04/2025,Instagram,198,358,66682,6.73,2293,-160,,,,,,,,,,,
14/04/2025,Facebook,198,373,70707,4.83,25920,-175,,,,,,,,,,,
14/04/2025,Twitter,353,300,142507,5.3,11035,53,,,,,,,,,,,
14/04/2025,YouTube,520,375,369525,6.54,20733,145,,,,,,,,,,,
21/04/2025,Instagram,961,358,62942,6.8,18693,603,,,,,,,,,,,
21/04/2025,Facebook,1375,330,377382,2.6,7875,1045,,,,,,,,,,,
21/04/2025,Twitter,1147,388,333851,2.44,8471,759,,,,,,,,,,,
21/04/2025,YouTube,1707,74,270958,3.09,14090,1633,,,,,,,,,,,
28/04/2025,Instagram,1693,154,445944,5.69,14216,1539,,,,,,,,,,,
28/04/2025,Facebook,833,380,224830,3.86,3582,453,,,,,,,,,,,
28/04/2025,Twitter,1222,274,487289,3.16,32500,948,,,,,,,,,,,
28/04/2025,YouTube,777,140,11435,1.6,6832,637,,,,,,,,,,,
05/05/2025,Instagram,1957,76,447902,6.09,33381,1881,,,,,,,,,,,
05/05/2025,Facebook,405,66,418696,5.59,48419,339,,,,,,,,,,,
05/05/2025,Twitter,1581,71,484364,3.55,16149,1510,,,,,,,,,,,
05/05/2025,YouTube,1035,171,148477,5.21,7541,864,,,,,,,,,,,
12/05/2025,Instagram,1765,109,468301,1.82,20042,1656,,,,,,,,,,,
12/05/2025,Facebook,837,430,364820,4,49400,407,,,,,,,,,,,
12/05/2025,Twitter,337,68,456298,7.57,4007,269,,,,,,,,,,,
12/05/2025,YouTube,119,456,82558,6.81,12174,-337,,,,,,,,,,,
